rainning	raining
raning	raining
writtings	writings
disparingly	disparagingly
yello	yellow
forer	four
fours	four
fuore	four
fore*5	four
for*4	four
woodes	woods
haing	hanging
agression	aggression
loking	looking
begining	looking
luing	looking
look*2	looking
locking	looking
lucking	looking
louk	looking
looing	looking
lookin	looking
liking	looking
eligble	eligible
elegable	eligible
eligable	eligible
electrisity	electricity
electricty*2	electricity
electrizity	electricity
schold	scold
skold	scold
adabtable	adaptable
canned	caned
cained	caned
imature	immature
shoudln	shouldn't
shouldnt	shouldn't
swival	swivel
apropriation	appropriation
furr	fur
fer	fur
stabed	stabbed
Suothwode	Southwold
distrebe	disturb
desturb	disturb
reclections	recollections
recolections	recollections
prise	prize
prizer	prize
wensday	wednesday
wedensday	wednesday
sucession	succession
sucesion	succession
succesion	succession
strate	straight
strait	straight
staidght	straight
stright*2	straight
gards_men	guardsmen
increented	incremented
backen	bacon
baken	bacon
pluse	pulse
elagent	elegant
elligit	elegant
secand	second
sexeon	second
secund	second
seconnd	second
seond	second
sekon	second
jam_jar	jamjar
saled	sailed
saild	sailed
boludes	blouse
thounder	thunder
coking	cooking
chocking	cooking
kooking	cooking
cocking	cooking
fosscil	fossil
incased	increasing
ingreesh_this	increasing
incresing	increasing
incriosing	increasing
increacing	increasing
incressing	increasing
increcing	increasing
ingeker	increasing
incrsin	increasing
inceasing	increasing
inceing	increasing
increase	increasing
insest	increasing
ingcresing	increasing
incuiseing	increasing
enchres	increasing
intheris	increasing
incesing	increasing
encreing	increasing
increesing	increasing
crace	increasing
encrising	increasing
increaseng	increasing
encressing	increasing
in_cresing	increasing
incrising	increasing
incersinges	increasing
changing	increasing
incesting	increasing
encreasing	increasing
crissing	increasing
incriasing	increasing
incsin	increasing
incing	increasing
increaseing	increasing
ingesing	increasing
imceasing	increasing
incristing	increasing
engressing	increasing
ingresin	increasing
incrase	increasing
encash	increasing
heroe	hero
dael	dahl
repoter	reporter
rebarter	reporter
reportor	reporter
reproter	reporter
reoporter	reporter
repoted	reporter
reporet	reporter
peportery	reporter
interupting	interrupting
hiar	here
hare	here
hir	here
hair	here
haiw	here
liet	here
hreb	here
hah	here
her	here
hes	here
hiyr	here
there	here
three	here
hay	here
hea	here
herre	here
har	here
werr	here
head	here
heere	here
hera	here
heir	here
herd	here
heat	here
hear*11	here
handr	here
he	here
heer	here
hree	here
hire	here
thehe	here
hon	here
eate	here
poit	here
atom	atoms
tape_recorded	tape-recorded
shreik	shriek
substace	substance
elaberate	elaborate
climb	climbed
climed	climbed
cimed	climbed
reoprts	reports
contervercing	controversy
contervercuy	controversy
consonerse	controversy
counteversy	controversy
contravercy	controversy
contronversey	controversy
contiversey	controversy
countirversay	controversy
countrovesy	controversy
counterversing	controversy
comsversiary	controversy
controversave	controversy
contevesy	controversy
controveries	controversy
controversey	controversy
controvercy*2	controversy
contraversally	controversy
conteversy	controversy
comtevercy	controversy
controversaries	controversy
countufersey	controversy
controvarsey	controversy
conqouversing	controversy
contriversy	controversy
contraversey	controversy
controvesey	controversy
contraverse	controversy
countroversy	controversy
contraversy*2	controversy
constroversy	controversy
contruevency	controversy
connesary	controversy
contavercy	controversy
conversity	controversy
contretearsing	controversy
controvery	controversy
contrevy	controversy
controvsary	controversy
contiuvisy	controversy
